filename,p/bar,Di,Df,Density,AVA,ASA,NAVA,NASA,UC_volume,Gamma_cage_window,DeltaD_cage_window,Eta_wall,Phi_accessible,hoa/kcal/mol,mmol/g,S(g1)
DB1-Uio66Zr-irmof6_A-irmof7_A_No53,0.015,6.35607,2.22268,1.45739,0.0,0.0,64.4045,157.777,2283.85,2.8596424136627854,4.13339,,0.0,7.863968,1.091068,292.989985
DB1-Uio66Zr-irmof6_A-irmof7_A_No53,0.15,6.35607,2.22268,1.45739,0.0,0.0,64.4045,157.777,2283.85,2.8596424136627854,4.13339,,0.0,9.20909,2.966876,265.949915
DB1-Uio66Zr-irmof10_A-irmof14_A_No323,0.015,10.06126,5.08515,0.858125,751.47,855.724,0.0,0.0,4791.32,1.9785571713715429,4.976110000000001,1.1387334158382902,0.1568398687626792,9.030831,4.052777,382.41588
DB1-Uio66Zr-irmof10_A-irmof14_A_No323,0.15,10.06126,5.08515,0.858125,751.47,855.724,0.0,0.0,4791.32,1.9785571713715429,4.976110000000001,1.1387334158382902,0.1568398687626792,8.887852,11.743011,200.00747
DB1-Uio66Zr-irmof10_A-irmof14_A_No504,0.015,10.06126,6.56005,0.838248,1019.98,938.242,0.0,0.0,4791.32,1.533716968620666,3.5012100000000004,0.919863134571266,0.2128807927669202,5.852426,0.128845,5.33346
DB1-Uio66Zr-irmof10_A-irmof14_A_No504,0.15,10.06126,6.56005,0.838248,1019.98,938.242,0.0,0.0,4791.32,1.533716968620666,3.5012100000000004,0.919863134571266,0.2128807927669202,6.045809,1.122977,44.09389
DB1-Uio66Zr-irmof6_A-irmof7_A_No88,0.015,6.39507,1.69723,1.68421,0.0,0.0,57.1875,130.4,2283.85,3.7679454169440794,4.697839999999999,,0.0,9.029671,1.724164,478.13442
DB1-Uio66Zr-irmof6_A-irmof7_A_No88,0.15,6.39507,1.69723,1.68421,0.0,0.0,57.1875,130.4,2283.85,3.7679454169440794,4.697839999999999,,0.0,9.150659,2.897262,267.383585
DB1-Uio66Zr-irmof6_A-irmof7_A_No134,0.015,6.39507,2.10665,1.4734,0.0,0.0,70.5252,156.552,2283.85,3.0356585099565656,4.2884199999999995,,0.0,8.30273,1.258104,325.476165
DB1-Uio66Zr-irmof6_A-irmof7_A_No134,0.15,6.39507,2.10665,1.4734,0.0,0.0,70.5252,156.552,2283.85,3.0356585099565656,4.2884199999999995,,0.0,9.887278,2.808618,225.07448
DB1-Uio66Zr-irmof8_A-imd_No6,0.015,8.68499,2.41832,1.3418,0.0,0.0,268.869,354.246,3454.13,3.5913319990737373,6.266670000000001,,0.0,6.502178,0.25601,33.958385
DB1-Uio66Zr-irmof8_A-imd_No6,0.15,8.68499,2.41832,1.3418,0.0,0.0,268.869,354.246,3454.13,3.5913319990737373,6.266670000000001,,0.0,7.831306,2.228168,131.81724
DB1-Uio66Zr-irmof6_A-irmof7_A_No13,0.015,6.52202,2.81825,1.39555,0.0,0.0,79.3408,178.633,2283.85,2.3142091723587335,3.7037700000000005,,0.0,7.908701,0.943837,241.96413
DB1-Uio66Zr-irmof6_A-irmof7_A_No13,0.15,6.52202,2.81825,1.39555,0.0,0.0,79.3408,178.633,2283.85,2.3142091723587335,3.7037700000000005,,0.0,7.285368,2.789137,190.766165
DB1-Uio66Zr-BDC_A-DABCO_A_No19,0.015,6.6053,3.37614,1.36225,0.0,0.0,78.97,181.121,2235.84,1.9564650755004236,3.22916,,0.0,7.593532,0.442694,120.10066
DB1-Uio66Zr-BDC_A-DABCO_A_No19,0.15,6.6053,3.37614,1.36225,0.0,0.0,78.97,181.121,2235.84,1.9564650755004236,3.22916,,0.0,7.292245,2.342692,155.047565
DB1-Uio66Zr-irmof10_A-irmof14_A_No338,0.015,10.06126,5.08515,0.838028,779.164,879.114,0.0,0.0,4791.32,1.9785571713715429,4.976110000000001,1.1282785138943792,0.1626199043269913,8.192736,2.158235,210.88884
DB1-Uio66Zr-irmof10_A-irmof14_A_No338,0.15,10.06126,5.08515,0.838028,779.164,879.114,0.0,0.0,4791.32,1.9785571713715429,4.976110000000001,1.1282785138943792,0.1626199043269913,7.943653,11.251529,265.85012
DB1-Uio66Zr-BDC_A-imdb_No21,0.015,7.33179,3.3397,1.37847,0.0,0.0,224.927,427.731,4471.7,2.1953438931640563,3.9920899999999997,,0.0,7.082067,0.491966,93.125365
DB1-Uio66Zr-BDC_A-imdb_No21,0.15,7.33179,3.3397,1.37847,0.0,0.0,224.927,427.731,4471.7,2.1953438931640563,3.9920899999999997,,0.0,7.951551,2.890601,161.740915
DB1-Uio66Zr-irmof10_A-irmof14_A_No188,0.015,10.06126,6.56005,0.882077,1057.83,916.924,0.0,0.0,4791.32,1.533716968620666,3.5012100000000004,0.8667971224109734,0.2207804947279664,5.555052,0.115987,4.86256
DB1-Uio66Zr-irmof10_A-irmof14_A_No188,0.15,10.06126,6.56005,0.882077,1057.83,916.924,0.0,0.0,4791.32,1.533716968620666,3.5012100000000004,0.8667971224109734,0.2207804947279664,5.687887,0.913647,38.976065
DB1-Uio66Zr-BDC_A-irmof6_A_No473,0.015,7.31796,3.25682,1.51663,0.0,0.0,99.8975,188.208,2235.84,2.2469648307244494,4.06114,,0.0,9.834155,1.628749,441.42194
DB1-Uio66Zr-BDC_A-irmof6_A_No473,0.15,7.31796,3.25682,1.51663,0.0,0.0,99.8975,188.208,2235.84,2.2469648307244494,4.06114,,0.0,10.277539,4.456491,443.996425
DB1-Uio66Zr-BDC_A-irmof7_A_No29,0.015,7.81057,3.85252,1.2939,142.557,263.63,0.0,0.0,2235.84,2.0273924600002076,3.95805,1.8492953695714698,0.0637599291541434,7.413942,0.374512,78.07962
DB1-Uio66Zr-BDC_A-irmof7_A_No29,0.15,7.81057,3.85252,1.2939,142.557,263.63,0.0,0.0,2235.84,2.0273924600002076,3.95805,1.8492953695714698,0.0637599291541434,7.086201,1.871757,102.930345
DB1-Uio66Zr-irmof6_A-irmof7_A_No122,0.015,6.35607,2.10665,1.56486,0.0,0.0,65.5921,151.959,2283.85,3.0171457052666555,4.24942,,0.0,8.013634,1.068765,293.83607
